Step,Purpose,"HTML Webpage Name
(use the variable names as specified below)","Data retrieved from HTML
(use the variable names as specified below)","Data retrieved from DataBase
(use the variable names as specified below)","Data input into Rule base
(use the variable names as specified below)","Data output from Rule base
(use the variable names as specified below)"
1,Determine if user is eligible for certain credit cards/ bank accounts,eligibility.html,"personal info (dict of string):
annual_income
age
gender
citizenship ('singaporean', 'pr', 'foreigner')","credit card eligibility info (dict of lists):
card_id
credit_card_name
multiple_levels
bank_name
payment_networks
age_min
age_max
gender_req
annual_income_singaporean_min
annual_income_pr_min
annual_income_foreigner_min","(see left)
personal info (dict of string)

credit card eligibility info (list of dicts of tuple(s))","eligibile credit card ids (dict of list) 

eligible_credit_card_ids
e.g. {'eligible_credit_card_ids': [1,2,3]}
"
2,Understand the user's preferences,preferences.html,"preference info (dict of string):
preferred_bank (list of string)
preferred_card_type (list of string)
   (e.g. 'visa', 'mastercard', 'american express', 'jcb')
preferred_rewards_type (list of string
   ('cashback', 'miles', 'points')","credit card preference info (dict of lists):
credit_card_id
credit_card_name
bank_name
card_type
payment_networks","preference info (dict of string)
credit card preference info (dict of lists)","preferred credit card ids (dict of list) 

preferred _credit_card_ids
e.g. {'preferred _credit_card_ids': [1,2,3]}
"
3,"Understand which areas the user spends in 
(to have a more ""intelligent"" form for spending_amount.html)",spending_checkbox.html,"spending checkbox info (dict of string):
bill_checkbox (Boolean: True, False)
dining_checkbox (Boolean: True, False)
entertainment_checkbox (Boolean: True, False)
foreign_checkbox (Boolean: True, False)
groceries_checkbox (Boolean: True, False)
online_shopping_checkbox (Boolean: True, False)
petrol_checkbox (Boolean: True, False)
retail_shopping_checkbox (Boolean: True, False)
transport_checkbox (Boolean: True, False)

",,"(see left)
spending checkbox info (dict of string)","eligibile spending names (dict of list)

eligible_spending

e.g. {'eligible_spending':['bill', 'dining','retail','transport']}"
4,"Calculate cashback, points, miles + compare cashback vs miles vs points",spending_amount.htm,"spending amounts info (dict of float):
bill_spending
dining_spending
entertainment_spending
foreign_spending (in SGD)

groceries_ntuc_spending
groceries_sheng_siong_spending
groceries_cold_storage_spending
groceres_giant_spending
groceries_others_spending

online_shopping_hotels_and_flight_spending
online_shopping_others_spending

petrol_esso_spending
petrol_caltex_spending
petrol_shell_spending
petrol_others_spending

retail_shopping_spending
transport_spending
","credit card spending cashback/miles/points info (dict of lists):
credit_card_id (Primary Key)
credit_card_name
card_type
bank_name
multi_levels
official_link
foreign_currency_transaction_fee
annual_fee
annual_fee_waiver_min_spend
overall_points_cap
overall_points_min_spend
contactless_points_multiplier
contactless_points_cap
contactless_points_lot
dining_points_multiplier
dining_points_cap
dining_points_lot
entertainment_points_multiplier
entertainment_points_cap
entertainment_points_lot
foreign_points_multiplier
foreign_points_cap
foreign_points_lot
online_shopping_others_points_multiplier
online_shopping_others_points_cap
online_shopping_others_points_lot
online_shopping_hotels_and_flight_points_multiplier
online_shopping_hotels_and_flights_points_cap
online_shopping_hotels_and_flights_points_lot
retail_shopping_points_multiplier
retail_shopping_points_cap
retail_shopping_points_lot
points_to_miles_conversion
overall_cashback_cap
overall_cashback_min_spend
cash_cashback
bill_cashback_rate
bill_cashback_cap
bill_cashback_min_spend
contactless_cashback_rate
contactless_cashback_cap
contactless_cashback_min_spend
dining_cashback_rate
dining_cashback_cap
dining_cashback_min_spend
foreign_cashback_rate
foreign_cashback_cap
foreign_cashback_min_spend
groceries_overall_cashback_cap
groceries_others_cashback_rate
groceries_others_cashback_cap
groceries_others_cashback_min_spend
groceries_ntuc_cashback_rate
groceries_ntuc_cashback_cap
groceries_ntuc_cashback_min_spend
groceries_sheng_siong_cashback_rate
groceries_sheng_siong_cashback_cap
groceries_sheng_siong_cashback_min_spend
groceries_cold_storage_cashback_rate
groceries_cold_storage_cashback_cap
groceries_cold_storage_cashback_min_spend
groceries_giant_cashback_rate
groceries_giant_cashback_cap
groceries_giant_cashback_min_spend
online_shopping_overall_cashback_cap
online_shopping_others_cashback_rate
online_shopping_others_cashback_cap
online_shopping_others_cashback_min_spend
online_shopping_hotels_and_flights_cashback_rate
online_shopping_hotels_and_flights_cashback_cap
online_shopping_hotels_and_flights_cashback_min_spend
petrol_overall_cashback_cap
petrol_others_cashback_rate
petrol_others_cashback_cap
petrol_others_cashback_min_spend
petrol_esso_cashback_rate
petrol_esso_cashback_cap
petrol_esso_cashback_min_spend
petrol_caltex_cashback_rate
petrol_caltex_cashback_cap
petrol_caltex_cashback_min_spend
petrol_shell_cashback_rate
petrol_shell_cashback_cap
petrol_shell_cashback_min_spend
retail_shopping_cashback_rate
retail_shopping_cashback_cap
retail_shopping_cashback_min_spend
transport_cashback_rate
transport_cashback_cap
transport_cashback_min_spend","(see left)
spending amounts info (dict of floats)
(calculate total_spending_amount)

credit card spending info (list of dicts of tuple(s))","Recommendation values (dict)
(Note: fuzzy logic for contactless spending)

ideal_credit_card
preferred_credit_card
ideal_cashback_amount ($)
ideal_miles_amount (miles)
ideal_points_amount (points)
preferred_cashback_amount ($)
preferred_miles_amount (miles)
preferred_points_amount (points)

e.g {'ideal_credit_card':<name>,'preferred_credit_card':<name>, 
'ideal_cashback_amount':<amount>,'ideal_miles_amount':<miles_amount>,
'ideal_points_amount':<points_amount>, 'preferred_cashback_amount':<amount>,
'preferred_miles_amount':<miles_amount>,'preferred_points_amount':<points_amount>}"
5,Output selected credit card + bank,recommendation.html,"Output


preferred_credit_card_exists

ideal_credit_card_name
ideal_credit_card_official_link
ideal_cashback_amount ($)
ideal_miles_amount (miles)
ideal_points_amount (points)
ideal_annual_fee

preferred_credit_card_name
preferred_credit_card_official_link
preferred_cashback_amount ($)
preferred_miles_amount (miles)
preferred_points_amount (points)
preferred_annual_fee",,,
,,,,,,
Not used,Calculate interest rate,bank.html,"value_amount_in_account
increase_of_balance
monthly_salary
amount_salary_credited
buy_investment (0,1)
amount_invested
existing_credit_card (0,1)
pay_bills_by_giro (0,1)
bill_amount_paid
bill_count",Unknown first,Unknown first,Unknown first
