credit_card_id (Primary Key),credit_card_name,multiple_levels,bank_name,card_type,payment_networks,money_smart_link,official_link,age_min,age_max,gender_req,annual_income_singaporean_min,annual_income_pr_min,annual_income_foreigner_min,foreign_currency_transaction_fee,annual_fee,annual_fee_waiver_min_spend,overall_points_cap,overall_points_min_spend,contactless_points_multiplier,contactless_points_cap,contactless_points_lot,dining_points_multiplier,dining_points_cap,dining_points_lot,entertainment_points_multiplier,entertainment_points_cap,entertainment_points_lot,foreign_points_multiplier,foreign_points_cap,foreign_points_lot,online_shopping_others_points_multiplier,online_shopping_others_points_cap,online_shopping_others_points_lot,online_shopping_hotels_and_flight_points_multiplier,online_shopping_hotels_and_flights_points_cap,online_shopping_hotels_and_flights_points_lot,retail_shopping_points_multiplier,retail_shopping_points_cap,retail_shopping_points_lot,points_to_miles_conversion,overall_cashback_cap,overall_cashback_min_spend,cash_cashback,bill_cashback_rate,bill_cashback_cap,bill_cashback_min_spend,contactless_cashback_rate,contactless_cashback_cap,contactless_cashback_min_spend,dining_cashback_rate,dining_cashback_cap,dining_cashback_min_spend,foreign_cashback_rate,foreign_cashback_cap,foreign_cashback_min_spend,groceries_overall_cashback_cap,groceries_others_cashback_rate,groceries_others_cashback_cap,groceries_others_cashback_min_spend,groceries_ntuc_cashback_rate,groceries_ntuc_cashback_cap,groceries_ntuc_cashback_min_spend,groceries_sheng_siong_cashback_rate,groceries_sheng_siong_cashback_cap,groceries_sheng_siong_cashback_min_spend,groceries_cold_storage_cashback_rate,groceries_cold_storage_cashback_cap,groceries_cold_storage_cashback_min_spend,groceries_giant_cashback_rate,groceries_giant_cashback_cap,groceries_giant_cashback_min_spend,online_shopping_overall_cashback_cap,online_shopping_others_cashback_rate,online_shopping_others_cashback_cap,online_shopping_others_cashback_min_spend,online_shopping_hotels_and_flights_cashback_rate,online_shopping_hotels_and_flights_cashback_cap,online_shopping_hotels_and_flights_cashback_min_spend,petrol_overal_cashback_cap,petrol_others_cashback_rate,petrol_others_cashback_cap,petrol_others_cashback_min_spend,petrol_esso_cashback_rate,petrol_esso_cashback_cap,petrol_esso_cashback_min_spend,petrol_caltex_cashback_rate,petrol_caltex_cashback_cap,petrol_caltex_cashback_min_spend,petrol_shell_cashback_rate,petrol_shell_cashback_cap,petrol_shell_cashback_min_spend,retail_shopping_cashback_rate,retail_shopping_cashback_cap,retail_shopping_cashback_min_spend,transport_cashback_rate,transport_cashback_cap,transport_cashback_min_spend
35,OCBC Titanium Rewards Card (Pink),FALSE,OCBC,Points,MasterCard,https://www.moneysmart.sg/credit-cards/ocbc-titanium-rewards-card,https://www.ocbc.com/personal-banking/cards/titaniumrewards-mastercard.html,21,999,A,30000,30000,45000,0.028,192.6,0,1.00E+09,0,10,1.00E+09,1,10,1.00E+09,1,10,1.00E+09,1,10,1.00E+09,1,10,1.00E+09,1,10,1.00E+09,1,10,1.00E+09,1,0.4,1.00E+09,0,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0.14,1.00E+09,0,0.16,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0
36,OCBC Cashflo Credit Card,TRUE,OCBC,Cashback,MasterCard,https://www.moneysmart.sg/credit-cards/ocbc-cashflo-card,https://www.ocbc.com/personal-banking/cards/cashflo-mastercard.html,21,999,A,30000,30000,45000,0.028,160.5,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,"100.0,100.0","0.0,1000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","1000000000.0,1000000000.0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","1000000000.0,1000000000.0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","1000000000.0,1000000000.0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0","0.005,0.01","1000000000.0,1000000000.0","0,0"
37,OCBC Plus! Visa Credit Card,FALSE,OCBC,Cashback,Visa,https://www.moneysmart.sg/credit-cards/ocbc-plus-visa-credit-card,https://www.ocbc.com/personal-banking/cards/cpa/plus/index.html,21,999,A,30000,30000,45000,0.028,107,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,500,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0.07,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0.14,1.00E+09,0,0.16,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0
38,NTUC Plus! Visa Credit Card,FALSE,OCBC,Cashback,Visa,https://www.moneysmart.sg/credit-cards/ntuc-plus-visa-credit-card,https://plus.com.sg/apply/cards/ntuc-plus-visa-credit-card,21,999,A,30000,30000,45000,0.028,0,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,400,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,,1.00E+09,0,0.12,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,,1.00E+09,0,1.00E+09,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0,0,1.00E+09,0
39,POSB Everyday Card,FALSE,DBS,Cashback,MasterCard,https://www.moneysmart.sg/credit-cards/posb-everyday-card,https://www.posb.com.sg/personal/promotion/cards-signup?cid=sg:en:cbg:bsd:sem:goo:na:na:card:cen_cards_sem:na:posb+credit+cards&ds_rl=1247858&ds_rl=1259147&ds_rl=1257634&gclid=EAIaIQobChMIyOPcicnK4AIVVxePCh1w2g8-EAAYASAAEgKdm_D_BwE&gclsrc=aw.ds,21,999,A,30000,30000,45000,0.028,192.6,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,0,0,0.01,1.00E+09,0,0.003,1.00E+09,0,0.15,50,800,0.1,50,0,1.00E+09,0.05,1.00E+09,0,0.05,1.00E+09,0,0.05,5.00E+01,0,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0,1.00E+09,0,0,1.00E+09,0,1.00E+09,0.201,1.00E+09,0,0.201,1.00E+09,0,0.201,1.00E+09,0,0.201,1.00E+09,0,0.003,1.00E+09,0,0,1.00E+09,0
40,UOB YOLO Credit Card,FALSE,UOB,Cashback,Visa,https://www.moneysmart.sg/credit-cards/uob-yolo,https://www.uob.com.sg/personal/cards/credit/yolo/?ms=owned_site_sg&mt=cvp-cashback_text&i_cid=cc_evergreen_201803_na&vid=none,21,999,A,30000,30000,40000,0.028,192.6,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,80,600,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.08,1.00E+09,0,0.003,1.00E+09,0,1.00E+09,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,1.00E+09,0.18,1.00E+09,0,0.18,1.00E+09,0,1.00E+09,0.2,1.00E+09,0,0.2,1.00E+09,0,0.2,1.00E+09,0,0.2,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0
41,UOB One Card,TRUE,UOB,Cashback,Visa,https://www.moneysmart.sg/credit-cards/uob-one-card,https://www.uob.com.sg/credit-cards/featured.html?ms=owned_site_sg&mt=cvp-cashback_text&i_cid=cc_evergreen_201803_na&vid=none#one-card,21,999,A,30000,30000,40000,0.028,192.6,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,"100.0,100.0,100.0","500.0,1000.0,2000","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","999999999.0,999999999.0,999999999.0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","999999999.0,999999999.0,999999999.0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","999999999.0,999999999.0,999999999.0","0.21,0.21,0.21","999999999.0,999999999.0,999999999.0","0,0,0","0.21,0.21,0.21","999999999.0,999999999.0,999999999.0","0,0,0","0.21,0.21,0.21","999999999.0,999999999.0,999999999.0","0,0,0","0.21,0.21,0.21","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0","0.0333,0.0333,0.05","999999999.0,999999999.0,999999999.0","0,0,0"
42,UOB DELIGHT CREDIT CARD,FALSE,UOB,Cashback,Visa,not-found,https://www.uob.com.sg/personal/cards/credit-cards/rebates-cards/delight-card.page?ms=undefined&mt=undefined&i_cid=pweb-card-comparator&vid=none&productid=cc,21,999,A,30000,30000,40000,0.028,85.6,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,50,400,0,0.03,1.00E+09,0,0.03,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,1.00E+09,0.08,1.00E+09,0,0.08,1.00E+09,0,0.08,1.00E+09,0,0.08,1.00E+09,0,0.08,1.00E+09,0,1.00E+09,0.003,1.00E+09,0,0.003,1.00E+09,0,1.00E+09,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0,0.003,1.00E+09,0
43,UOB UNIONPAY CARD,FALSE,UOB,Cashback,UnionPay,not-found,https://www.uob.com.sg/personal/cards/credit-cards/rebates-cards/uob-unionpay-platinum-card.page?ms=owned_site_sg&mt=cvp-cashback_text&i_cid=cc_evergreen_201803_na&vid=none&productid=cc,21,999,A,30000,30000,40000,0.028,192.6,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,50,0,0,0.02,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0,1.00E+09,0.02,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0,1.00E+09,0.02,1.00E+09,0,0.02,1.00E+09,0,1.00E+09,0.216,1.00E+09,0,0.216,1.00E+09,0,0.216,1.00E+09,0,0.216,1.00E+09,0,0.02,1.00E+09,0,0.02,1.00E+09,0
44,UOB JCB CARD,TRUE,UOB,Cashback,JCB,not-found,https://www.uob.com.sg/personal/cards/credit-cards/rebates-cards/uob-jcb-card.page?ms=owned_site_sg&mt=cvp-cashback_text&i_cid=cc_evergreen_201803_na&vid=none&productid=cc,21,999,A,30000,30000,40000,0.028,64.2,0,1.00E+09,0,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,1.00E+09,1,0,"50,50",300,"0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.03,0.06","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","999999999.0,999999999.0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","999999999.0,999999999.0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","999999999.0,999999999.0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0","0.003,0.003","999999999.0,999999999.0","0,0"
