credit_card_id (Primary Key),credit_card_name,multiple_levels,bank_name,card_type,payment_networks,money_smart_link,official_link,age_min,age_max,gender_req,annual_income_singaporean_min,annual_income_pr_min,annual_income_foreigner_min,foreign_currency_transaction_fee,annual_fee,annual_fee_waiver_min_spend,overall_points_cap,overall_points_min_spend,contactless_points_multiplier,contactless_points_cap,contactless_points_lot,dining_points_multiplier,dining_points_cap,dining_points_lot,entertainment_points_multiplier,entertainment_points_cap,entertainment_points_lot,foreign_points_multiplier,foreign_points_cap,foreign_points_lot,online_shopping_others_points_multiplier,online_shopping_others_points_cap,online_shopping_others_points_lot,online_shopping_hotels_and_flight_points_multiplier,online_shopping_hotels_and_flights_points_cap,online_shopping_hotels_and_flights_points_lot,retail_shopping_points_multiplier,retail_shopping_points_cap,retail_shopping_points_lot,points_to_miles_conversion,overall_cashback_cap,overall_cashback_min_spend,cash_cashback,bill_cashback_rate,bill_cashback_cap,bill_cashback_min_spend,contactless_cashback_rate,contactless_cashback_cap,contactless_cashback_min_spend,dining_cashback_rate,dining_cashback_cap,dining_cashback_min_spend,foreign_cashback_rate,foreign_cashback_cap,foreign_cashback_min_spend,groceries_overall_cashback_cap,groceries_others_cashback_rate,groceries_others_cashback_cap,groceries_others_cashback_min_spend,groceries_ntuc_cashback_rate,groceries_ntuc_cashback_cap,groceries_ntuc_cashback_min_spend,groceries_sheng_siong_cashback_rate,groceries_sheng_siong_cashback_cap,groceries_sheng_siong_cashback_min_spend,groceries_cold_storage_cashback_rate,groceries_cold_storage_cashback_cap,groceries_cold_storage_cashback_min_spend,groceries_giant_cashback_rate,groceries_giant_cashback_cap,groceries_giant_cashback_min_spend,online_shopping_overall_cashback_cap,online_shopping_others_cashback_rate,online_shopping_others_cashback_cap,online_shopping_others_cashback_min_spend,online_shopping_hotels_and_flights_cashback_rate,online_shopping_hotels_and_flights_cashback_cap,online_shopping_hotels_and_flights_cashback_min_spend,petrol_overal_cashback_cap,petrol_others_cashback_rate,petrol_others_cashback_cap,petrol_others_cashback_min_spend,petrol_esso_cashback_rate,petrol_esso_cashback_cap,petrol_esso_cashback_min_spend,petrol_caltex_cashback_rate,petrol_caltex_cashback_cap,petrol_caltex_cashback_min_spend,petrol_shell_cashback_rate,petrol_shell_cashback_cap,petrol_shell_cashback_min_spend,retail_shopping_cashback_rate,retail_shopping_cashback_cap,retail_shopping_cashback_min_spend,transport_cashback_rate,transport_cashback_cap,transport_cashback_min_spend
11,DBS Woman’s Card,FALSE,DBS,Rewards,MasterCard,https://www.moneysmart.sg/credit-cards/DBS-Womans-Card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card,21,999,F,30000,30000,45000,0.025,160.5,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
12,DBS Woman’s World Card,FALSE,DBS,Rewards,MasterCard,https://www.moneysmart.sg/credit-cards/dbs-woman-s-world-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-woman-mastercard-card,21,999,F,80000,80000,80000,0.028,192.6,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,3,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
13,DBS Black Visa Card,FALSE,DBS,Rewards,Visa,https://www.moneysmart.sg/credit-cards/dbs-black-visa-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-black-visa-card,21,999,A,30000,30000,45000,0.028,192.6,0,999999999,0,3,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
14,DBS Black American Express® Card,FALSE,DBS,Rewards,American Express,https://www.moneysmart.sg/credit-cards/dbs-black-visa-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-black-visa-card,21,999,A,30000,30000,45000,0.028,192.6,0,999999999,0,1,999999999,5,1,999999999,5,5,5,5,1,999999999,5,5,5,5,5,5,5,5,5,5,2,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
15,DBS Altitude Visa Signature Card,FALSE,DBS,Miles,Visa,https://www.moneysmart.sg/credit-cards/dbs-altitude-visa-signature-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-altitude-cards,21,999,A,30000,30000,45000,0.028,192.6,25000,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,3,15000,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
16,DBS Altitude American Express® Card,FALSE,DBS,Miles,American Express,https://www.moneysmart.sg/credit-cards/dbs-altitude-visa-signature-card,https://www.dbs.com.sg/personal/cards/credit-cards/dbs-altitude-cards,21,999,A,30000,30000,45000,0.028,192.6,25000,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,3,15000,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
17,Citi PremierMiles Visa Card,FALSE,Citibank,Miles,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/premiermiles-visa-card.htm?icid=SGCCUV6ENCRCDCAFM,21,999,A,30000,30000,42000,0.028,192.6,0,999999999,0,1.2,999999999,1,1.2,1.2,1.2,1.2,999999999,1,2,999999999,1,1.2,999999999,1,1.2,999999999,1,1.2,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
18,Citi Rewards Card,FALSE,Citibank,Rewards,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/rewards-credit-card.htm?icid=SGVMAB6ENCRCDCAFM,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,10,999999999,1,1,999999999,1,10,999999999,1,1,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0
19,Citi Cash Back Card,FALSE,Citibank,Cashback,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/dividend-card.htm?icid=SGCCUSUENCRCRCAFM,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,100,500,0,0,999999999,0,0,999999999,0,0.08,25,0,0,999999999,0,25,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0.08,999999999,0,0,999999999,0,0.08,25,0
20,Citi SMRT Card,FALSE,Citibank,Cashback,Visa,not-found,https://www.citibank.com.sg/gcb/credit_cards/smrt-credit-card.htm?icid=SGCCA2HENCRCDCAFM#daily,21,999,A,30000,30000,42000,0,192.6,0,999999999,0,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,1,999999999,1,0.5,999999999,0,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,0,999999999,0,999999999,0,999999999,0,0,999999999,0,999999999,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0.16,999999999,0,0,999999999,0,0,999999999,0
